Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides pHis3_01	Peptides pHis3_02	Peptides pHis3_03	Peptides SMC1_01	Peptides SMC1_02	Peptides SMC1_03	Razor + unique peptides pHis3_01	Razor + unique peptides pHis3_02	Razor + unique peptides pHis3_03	Razor + unique peptides SMC1_01	Razor + unique peptides SMC1_02	Razor + unique peptides SMC1_03	Unique peptides pHis3_01	Unique peptides pHis3_02	Unique peptides pHis3_03	Unique peptides SMC1_01	Unique peptides SMC1_02	Unique peptides SMC1_03	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type pHis3_01	Identification type pHis3_02	Identification type pHis3_03	Identification type SMC1_01	Identification type SMC1_02	Identification type SMC1_03	Sequence coverage pHis3_01 [%]	Sequence coverage pHis3_02 [%]	Sequence coverage pHis3_03 [%]	Sequence coverage SMC1_01 [%]	Sequence coverage SMC1_02 [%]	Sequence coverage SMC1_03 [%]	Intensity	Intensity pHis3_01	Intensity pHis3_02	Intensity pHis3_03	Intensity SMC1_01	Intensity SMC1_02	Intensity SMC1_03	LFQ intensity pHis3_01	LFQ intensity pHis3_02	LFQ intensity pHis3_03	LFQ intensity SMC1_01	LFQ intensity SMC1_02	LFQ intensity SMC1_03	MS/MS count pHis3_01	MS/MS count pHis3_02	MS/MS count pHis3_03	MS/MS count SMC1_01	MS/MS count SMC1_02	MS/MS count SMC1_03	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P05744	P05744	11	4	4	60S ribosomal protein L33-A	RPL33A	sp|P05744|RL33A_YEAST 60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33A PE=1 SV=3	1	11	4	4	9	10	9	11	10	10	4	4	4	4	4	4	4	4	4	4	4	4	61.7	25.2	25.2	12.154	107	107	0	59.487	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53.3	54.2	47.7	61.7	54.2	55.1	4035900000	650440000	459750000	1296300000	492150000	233670000	903550000	625880000	746530000	533440000	740900000	772400000	670960000	8	8	7	6	7	8	44				85	3106;3943;3944;4026;8638;8755;10212;10314;11554;11555;11556	False;True;True;False;False;False;False;False;False;True;True	3217;4104;4105;4189;9068;9185;10708;10814;12098;12099;12100	16172;16173;16174;20589;20590;20591;20592;20593;20594;20595;20596;20597;20598;20599;20600;20601;20602;20603;20604;20605;20606;20607;20608;20609;20610;20611;20612;20613;20614;21026;21027;21028;21029;21030;45085;45086;45087;45088;45089;45090;45091;45092;45646;45647;45648;45649;45650;45651;45652;45653;45654;45655;45656;53637;53638;53639;53640;54176;54177;54178;54179;54180;54181;54182;54183;54184;54185;54186;54187;61028;61029;61030;61031;61032;61033;61034;61035;61036;61037;61038;61039;61040;61041;61042;61043;61044;61045;61046;61047;61048;61049;61050;61051;61052;61053;61054;61055;61056;61057;61058;61059;61060	11908;15141;15142;15143;15144;15145;15146;15147;15148;15149;15150;15151;15152;15153;15154;15155;15156;15157;15158;15159;15160;15161;15162;15470;15471;15472;15473;33281;33282;33283;33284;33285;33286;33696;33697;33698;33699;33700;33701;33702;39572;39573;39574;39575;39992;39993;39994;39995;39996;39997;39998;39999;40000;40001;40002;40003;45107;45108;45109;45110;45111;45112;45113;45114;45115;45116;45117;45118;45119;45120;45121;45122;45123;45124;45125;45126;45127;45128;45129;45130;45131;45132;45133;45134	11908;15146;15152;15472;33285;33696;39572;39999;45112;45119;45134		
P05745	P05745	8	2	2	60S ribosomal protein L36-A	RPL36A	sp|P05745|RL36A_YEAST 60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36A PE=1 SV=3	1	8	2	2	7	7	6	7	5	6	2	2	1	2	2	2	2	2	1	2	2	2	51	10	10	11.124	100	100	0	7.2642	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50	50	41	50	33	41	349500000	56161000	32248000	110480000	43690000	40095000	66823000	26319000	23653000	119210000	31603000	45679000	102120000	3	2	2	3	2	2	14				86	439;1723;5471;8677;10268;11074;11075;11779	False;False;True;False;False;False;False;True	465;466;1790;5704;9107;10765;11601;11602;11603;12334;12335	2505;2506;2507;2508;2509;2510;2511;2512;2513;2514;2515;2516;2517;2518;2519;9303;9304;9305;9306;28812;28813;28814;28815;28816;28817;28818;28819;28820;28821;28822;28823;28824;45290;45291;45292;45293;45294;45295;45296;45297;45298;45299;53911;53912;53913;53914;53915;58308;58309;58310;58311;58312;58313;58314;58315;58316;58317;58318;58319;58320;58321;62313;62314;62315;62316;62317;62318;62319;62320	1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;6862;6863;6864;6865;21208;21209;21210;21211;21212;21213;21214;21215;21216;33432;33433;33434;33435;33436;33437;33438;33439;33440;33441;39785;39786;39787;43050;43051;43052;43053;43054;43055;43056;43057;43058;43059;43060;46080;46081;46082;46083;46084	1916;6862;21209;33432;39786;43052;43060;46082	9;78	20;90
P05747	P05747	3	3	3	60S ribosomal protein L29	RPL29	sp|P05747|RL29_YEAST 60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL29 PE=1 SV=3	1	3	3	3	1	2	3	2	2	2	1	2	3	2	2	2	1	2	3	2	2	2	39	39	39	6.6687	59	59	0	5.1204	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.6	25.4	39	25.4	25.4	25.4	219980000	6895400	16404000	132370000	2664300	14471000	47172000	23849000	23849000	53965000	14218000	32710000	23593000	1	2	3	1	3	2	12				87	443;3525;10922	True;True;True	470;3661;11443	2544;2545;2546;2547;2548;18414;57500;57501;57502;57503;57504;57505;57506;57507;57508;57509;57510	1941;13575;42474;42475;42476;42477;42478;42479;42480;42481;42482;42483	1941;13575;42479		
P05748	P05748	16	16	3	60S ribosomal protein L15-A	RPL15A	sp|P05748|RL15A_YEAST 60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL15A PE=1 SV=3	1	16	16	3	15	13	15	14	13	15	15	13	15	14	13	15	3	3	3	3	3	3	50.5	50.5	8.8	24.422	204	204	0	70.745	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	47.1	46.6	49	50	49	49	13337000000	2570600000	1261100000	4359300000	1543300000	718450000	2884200000	2624800000	2242400000	1779900000	2601200000	2041200000	1916800000	19	17	19	24	17	21	117				88	433;2864;2865;3207;3208;5218;8264;8432;8717;11459;11460;11655;12136;12298;12299;12409	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	459;2965;2966;3322;3323;5434;8681;8855;9147;12003;12004;12203;12706;12869;12870;12986	2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;14958;14959;14960;14961;14962;14963;14964;14965;14966;14967;14968;14969;14970;14971;14972;14973;16684;16685;16686;16687;16688;16689;16690;16691;16692;27312;27313;27314;27315;43282;43283;43284;44075;44076;44077;44078;44079;44080;44081;45455;45456;45457;45458;45459;45460;45461;45462;45463;45464;45465;60522;60523;60524;60525;60526;60527;60528;60529;60530;60531;60532;60533;60534;60535;60536;60537;60538;60539;60540;60541;60542;61610;61611;61612;61613;61614;61615;61616;61617;61618;61619;61620;61621;64239;64240;64241;64242;64243;64244;64245;64246;64247;64248;64249;64250;64251;65111;65112;65113;65114;65115;65116;65117;65118;65119;65120;65121;65122;65123;65124;65125;65126;65127;65128;65644;65645;65646;65647;65648;65649;65650;65651;65652;65653;65654	1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;10993;10994;10995;10996;10997;10998;10999;11000;11001;11002;11003;11004;11005;11006;12289;12290;12291;12292;20134;20135;20136;31970;31971;31972;32555;32556;32557;32558;32559;32560;32561;33550;33551;33552;33553;33554;33555;33556;33557;33558;33559;33560;44704;44705;44706;44707;44708;44709;44710;44711;44712;44713;44714;44715;44716;44717;44718;44719;45550;45551;45552;45553;45554;45555;45556;45557;47517;47518;47519;47520;47521;47522;47523;47524;47525;47526;47527;47528;47529;48207;48208;48209;48210;48211;48212;48213;48214;48215;48216;48217;48218;48219;48220;48221;48596;48597;48598;48599;48600;48601;48602;48603;48604;48605;48606	1876;10994;11006;12289;12291;20136;31972;32556;33553;44704;44712;45557;47527;48210;48217;48596		
P05749;P56628	P05749;P56628	4;2	4;2	4;2	60S ribosomal protein L22-A;60S ribosomal protein L22-B	RPL22A;RPL22B	sp|P05749|RL22A_YEAST 60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL22A PE=1 SV=3;sp|P56628|RL22B_YEAST 60S ribosomal protein L22-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN	2	4	4	4	1	3	2	3	4	3	1	3	2	3	4	3	1	3	2	3	4	3	44.6	44.6	44.6	13.693	121	121;122	0	47.058	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.2	38.8	24	38.8	44.6	38	202670000	24902000	35614000	51649000	27685000	15879000	46945000	34258000	58373000	27620000	40622000	36349000	33455000	2	3	3	4	3	4	19				89	5559;7927;10243;12315	True;True;True;True	5799;8332;10740;12886	29389;29390;29391;29392;41694;41695;41696;53787;53788;53789;53790;53791;53792;53793;53794;53795;53796;53797;53798;65211;65212;65213	21633;21634;21635;21636;30814;39688;39689;39690;39691;39692;39693;39694;39695;39696;39697;39698;39699;48285;48286	21636;30814;39694;48285		
P05750	P05750	24	24	24	40S ribosomal protein S3	RPS3	sp|P05750|RS3_YEAST 40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS3 PE=1 SV=5	1	24	24	24	21	23	22	23	24	22	21	23	22	23	24	22	21	23	22	23	24	22	77.9	77.9	77.9	26.502	240	240	0	210.58	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	77.9	75	77.9	75	77.9	77.9	14163000000	2336000000	1317400000	5353100000	1438500000	855040000	2863100000	2429300000	2227400000	2382700000	2099100000	2257900000	2154200000	27	26	27	27	26	29	162				90	552;553;1535;1630;1813;2152;2413;2433;2872;3203;4483;4484;5289;6320;6321;6916;8578;8649;8650;10671;10672;11773;12066;12545	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	583;584;1597;1695;1882;2234;2499;2520;2973;3317;3318;4674;4675;5511;6583;6584;7207;9006;9079;9080;11182;11183;12327;12636;13125;13126	3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;8294;8295;8296;8297;8298;8299;8300;8301;8302;8303;8304;8794;8795;8796;8797;8798;8799;9742;9743;9744;9745;9746;9747;9748;9749;11315;11316;11317;11318;11319;11320;11321;11322;11323;11324;11325;11326;11327;11328;11329;12625;12626;12627;12628;12629;12630;12758;12759;12760;12761;12762;12763;12764;12765;12766;12767;12768;15012;15013;15014;15015;15016;15017;15018;15019;15020;15021;15022;16655;16656;16657;16658;16659;16660;16661;16662;16663;16664;16665;23345;23346;23347;23348;23349;23350;23351;23352;23353;23354;23355;23356;23357;27728;27729;27730;27731;27732;27733;27734;27735;27736;27737;27738;27739;27740;33158;33159;33160;33161;33162;33163;33164;33165;33166;36229;36230;36231;36232;36233;36234;36235;36236;36237;36238;36239;36240;44772;44773;44774;44775;44776;45143;45144;45145;45146;45147;45148;45149;45150;45151;45152;45153;45154;45155;45156;45157;45158;45159;45160;45161;45162;45163;45164;45165;55942;55943;55944;55945;55946;55947;55948;55949;55950;55951;55952;55953;55954;55955;55956;55957;55958;55959;62273;62274;62275;62276;62277;62278;62279;62280;62281;62282;62283;63843;63844;63845;63846;63847;63848;66335;66336;66337;66338;66339;66340;66341;66342;66343	2400;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2411;2412;2413;2414;2415;2416;6153;6154;6155;6156;6157;6158;6159;6160;6161;6162;6163;6504;6505;6506;6507;6508;6509;7184;7185;7186;7187;7188;7189;8298;8299;8300;8301;8302;8303;8304;8305;8306;8307;8308;8309;8310;9245;9246;9247;9248;9249;9340;9341;9342;9343;9344;9345;9346;9347;9348;9349;9350;11039;11040;11041;11042;11043;12271;12272;12273;12274;12275;12276;12277;17215;17216;17217;17218;17219;17220;17221;17222;17223;17224;17225;20432;20433;20434;20435;20436;20437;24474;24475;24476;24477;24478;24479;24480;24481;26730;26731;26732;26733;26734;26735;26736;26737;26738;26739;26740;33054;33055;33327;33328;33329;33330;33331;33332;33333;33334;33335;33336;33337;33338;33339;33340;41300;41301;41302;41303;41304;41305;41306;41307;41308;41309;41310;41311;41312;41313;46052;46053;46054;46055;46056;46057;46058;47226;47227;47228;47229;47230;47231;49109;49110;49111;49112;49113;49114;49115	2402;2404;6158;6506;7185;8304;9246;9346;11039;12274;17218;17225;20434;24479;24481;26731;33054;33331;33337;41303;41305;46053;47227;49109	79;80	105;127
P05755	P05755	25	25	1	40S ribosomal protein S9-B	RPS9B	sp|P05755|RS9B_YEAST 40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9B PE=1 SV=4	1	25	25	1	18	21	19	19	22	20	18	21	19	19	22	20	1	1	1	1	1	1	67.7	67.7	8.2	22.298	195	195	0	100.95	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	64.1	64.1	67.2	60.5	64.6	67.2	10238000000	1280900000	822350000	4004100000	670430000	648530000	2811300000	1440100000	1304100000	1737200000	1285000000	1550200000	1858600000	25	21	23	18	21	22	130				91	1326;3599;3600;4681;4998;5237;5238;5561;5721;5722;5738;5739;5740;5791;5792;6640;8322;8672;8686;8714;8715;11068;11069;11213;11214	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1382;3739;3740;4881;5208;5454;5455;5801;5963;5964;5981;5982;5983;6036;6037;6920;8741;8742;9102;9116;9144;9145;11595;11596;11746;11747	7225;7226;7227;7228;7229;7230;7231;18813;18814;18815;18816;18817;18818;18819;18820;18821;18822;18823;18824;18825;18826;18827;18828;24405;24406;24407;24408;24409;24410;26050;26051;26052;26053;26054;26055;26056;26057;26058;26059;26060;26061;26062;26063;27412;27413;27414;27415;27416;27417;27418;27419;27420;27421;27422;27423;27424;27425;27426;27427;27428;27429;27430;27431;27432;27433;27434;27435;27436;27437;27438;27439;27440;27441;27442;27443;27444;27445;27446;27447;27448;29394;29395;29396;29397;29398;29399;29400;29401;30121;30122;30123;30124;30125;30126;30127;30128;30129;30130;30131;30132;30133;30134;30135;30136;30137;30138;30199;30200;30201;30202;30203;30204;30205;30206;30207;30208;30209;30210;30211;30428;30429;30430;30431;30432;30433;34735;34736;34737;34738;34739;34740;34741;43552;43553;43554;43555;43556;43557;43558;43559;43560;43561;43562;43563;43564;43565;45264;45265;45266;45267;45268;45269;45270;45271;45272;45273;45348;45442;45443;45444;45445;45446;45447;45448;58275;58276;58277;58278;58279;58280;58281;58282;58283;58284;59097;59098;59099;59100;59101;59102;59103;59104;59105	5357;5358;5359;5360;5361;5362;5363;13871;13872;13873;13874;13875;13876;13877;13878;13879;13880;13881;18019;18020;18021;18022;18023;19224;19225;19226;19227;19228;19229;19230;19231;19232;19233;19234;20205;20206;20207;20208;20209;20210;20211;20212;20213;20214;20215;20216;20217;20218;20219;20220;20221;20222;20223;20224;20225;21638;21639;21640;21641;21642;22182;22183;22184;22185;22186;22187;22188;22189;22190;22191;22192;22193;22194;22195;22196;22241;22242;22243;22244;22245;22246;22247;22248;22249;22250;22418;22419;22420;22421;22422;22423;25640;25641;25642;25643;25644;32174;32175;32176;32177;32178;32179;32180;32181;32182;32183;32184;32185;33413;33414;33415;33416;33417;33418;33419;33420;33477;33541;33542;33543;33544;33545;43031;43032;43033;43034;43035;43036;43037;43654;43655;43656;43657	5360;13873;13876;18023;19230;20206;20218;21641;22185;22196;22241;22245;22249;22419;22423;25641;32184;33413;33477;33541;33545;43031;43035;43655;43657	7	147
P05756	P05756	12	12	12	40S ribosomal protein S13	RPS13	sp|P05756|RS13_YEAST 40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS13 PE=1 SV=3	1	12	12	12	9	11	10	10	11	11	9	11	10	10	11	11	9	11	10	10	11	11	66.2	66.2	66.2	17.029	151	151	0	56.835	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	53	64.9	60.3	57.6	60.3	61.6	10706000000	1791400000	933380000	3965300000	837630000	726210000	2452100000	1960700000	1276200000	1903200000	1464900000	1672000000	1965800000	12	11	12	10	10	14	69				92	1087;2627;3087;3211;5132;6056;6801;7447;9523;9524;10836;12122	True;True;True;True;True;True;True;True;True;True;True;True	1137;2723;3198;3326;5346;6311;7085;7819;9989;9990;11352;12692	6041;6042;6043;6044;6045;13738;13739;16061;16062;16063;16064;16065;16699;16700;16701;16702;16703;16704;26833;26834;26835;26836;26837;26838;26839;26840;26841;26842;26843;26844;26845;26846;26847;26848;31796;31797;31798;31799;31800;31801;31802;35534;35535;35536;35537;35538;35539;39146;39147;39148;50042;50043;50044;50045;50046;50047;50048;50049;50050;50051;50052;50053;50054;50055;50056;50057;50058;50059;50060;50061;50062;50063;56802;56803;56804;56805;56806;56807;64172;64173;64174;64175;64176	4522;4523;4524;4525;4526;10058;10059;11827;11828;11829;11830;11831;12297;12298;12299;12300;12301;19801;19802;19803;19804;19805;19806;19807;19808;19809;19810;23470;23471;23472;23473;23474;26228;26229;26230;26231;26232;26233;28880;36873;36874;36875;36876;36877;36878;36879;36880;36881;36882;36883;36884;36885;36886;36887;36888;36889;36890;36891;36892;41927;41928;41929;41930;41931;41932;41933;41934;41935;47469;47470;47471	4524;10058;11830;12297;19808;23472;26228;28880;36874;36882;41928;47469		
P05759;P0CH09;P0CH08;P0CG63	P05759	7;2;2;2	7;2;2;2	7;2;2;2	Ubiquitin-40S ribosomal protein S31;Ubiquitin;40S ribosomal protein S31	RPS31	sp|P05759|RS31_YEAST Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS31 PE=1 SV=3	4	7	7	7	7	6	6	6	2	4	7	6	6	6	2	4	7	6	6	6	2	4	34.9	34.9	34.9	17.216	152	152;128;128;381	0	12.341	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.9	34.9	34.9	34.9	15.1	33.6	400970000	129550000	38098000	157830000	29142000	12563000	33791000	71730000	85714000	41806000	61137000	68165000	41762000	7	5	4	4	2	4	26				93	1613;1614;2021;5644;5645;10536;11343	True;True;True;True;True;True;True	1678;1679;2098;5885;5886;11042;11885	8704;8705;8706;8707;8708;8709;8710;8711;10590;10591;10592;10593;10594;29759;29760;29761;29762;29763;29764;29765;29766;29767;55302;55303;55304;55305;55306;55307;59841;59842;59843;59844	6445;6446;6447;6448;6449;6450;7774;7775;7776;7777;7778;21910;21911;21912;21913;21914;21915;21916;40821;40822;40823;40824;40825;44199;44200;44201	6446;6447;7776;21910;21915;40822;44199		
P06100	P06100	2	2	2	General negative regulator of transcription subunit 2	CDC36	sp|P06100|NOT2_YEAST General negative regulator of transcription subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC36 PE=1 SV=1	1	2	2	2	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	0	0	11	11	11	22.362	191	191	0	18.622		By MS/MS	By matching	By MS/MS			0	11	7.3	11	0	0	23096000	0	5200800	10179000	7716500	0	0	0	8693500	5060800	12036000	0	0	0	1	0	2	0	0	3				94	596;11376	True;True	629;11918	3402;3403;60020;60021;60022	2571;44316;44317	2571;44316		
P06102	P06102	6	6	6	General negative regulator of transcription subunit 3	NOT3	sp|P06102|NOT3_YEAST General negative regulator of transcription subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NOT3 PE=1 SV=2	1	6	6	6	4	4	2	4	3	1	4	4	2	4	3	1	4	4	2	4	3	1	10	10	10	94.402	836	836	0	57.28	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.8	6.5	3.7	6.5	4.9	2.2	66955000	11535000	10595000	23499000	11702000	4578800	5044400	10483000	14913000	12868000	13616000	12435000	10463000	3	2	2	2	2	1	12				95	4111;6188;6952;10662;11517;11778	True;True;True;True;True;True	4279;6443;7243;11173;12061;12333	21447;21448;21449;21450;32530;32531;32532;36398;36399;36400;36401;36402;36403;55895;60833;62310;62311;62312	15796;15797;24020;26869;26870;26871;26872;26873;26874;41275;44949;46079	15796;24020;26869;41275;44949;46079		
P06103	P06103	39	39	39	Eukaryotic translation initiation factor 3 subunit B	PRT1	sp|P06103|EIF3B_YEAST Eukaryotic translation initiation factor 3 subunit B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRT1 PE=1 SV=1	1	39	39	39	25	30	29	29	26	26	25	30	29	29	26	26	25	30	29	29	26	26	55.2	55.2	55.2	88.129	763	763	0	172.32	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	41.7	43.9	43	43.8	43.9	39.4	4851000000	597790000	348160000	2273300000	369360000	182260000	1080200000	820800000	533400000	807860000	628460000	464360000	737990000	31	26	27	29	25	20	158				96	521;586;1154;1232;1304;1396;1466;1621;1881;1964;2783;2788;2799;2954;3999;4000;4031;4104;5020;5811;5812;6856;7380;7517;7541;7570;8616;8724;8917;9995;9996;10191;10675;11088;11856;12012;12352;12398;12555	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	551;619;1207;1285;1359;1456;1528;1686;1953;2040;2880;2887;2888;2899;3061;4162;4163;4194;4272;5230;6056;6057;7141;7746;7747;7894;7918;7951;9045;9154;9355;10481;10482;10483;10687;11186;11616;12418;12419;12578;12925;12974;12975;13136	2959;2960;2961;2962;2963;2964;2965;3353;3354;6384;6385;6386;6387;6388;6763;6764;6765;6766;6767;6768;6769;7122;7123;7124;7125;7126;7127;7595;7596;7597;7598;7599;7600;7968;7969;7970;7971;7972;8753;8754;8755;10048;10049;10050;10363;10364;10365;10366;10367;10368;10369;14547;14582;14583;14584;14585;14586;14587;14588;14589;14590;14591;14592;14593;14594;14595;14596;14597;14630;14631;14632;14633;14634;14635;15422;20913;20914;20915;20916;20917;20918;20919;20920;20921;20922;20923;20924;20925;21051;21052;21053;21054;21055;21056;21057;21394;21395;21396;21397;21398;21399;26158;26159;26160;30520;30521;35885;35886;38792;38793;38794;38795;38796;38797;38798;38799;38800;38801;38802;38803;38804;39531;39532;39533;39534;39535;39668;39669;39670;39671;39839;39840;39841;39842;39843;44965;44966;44967;44968;45493;45494;45495;45496;46546;46547;46548;46549;46550;46551;52531;52532;52533;52534;52535;52536;52537;52538;52539;52540;52541;53505;53506;53507;53508;53509;53510;55970;55971;55972;55973;58371;58372;58373;58374;58375;58376;62794;62795;62796;62797;62798;62799;62800;63564;63565;63566;65364;65365;65366;65367;65368;65578;65579;65580;65581;65582;65583;65584;65585;65586;65587;65588;66387;66388;66389;66390;66391	2237;2238;2239;2240;2241;2534;4742;4743;4744;5019;5020;5021;5022;5275;5276;5277;5278;5279;5634;5635;5636;5637;5638;5907;5908;6478;7396;7397;7606;7607;7608;7609;7610;7611;10676;10704;10705;10706;10707;10708;10709;10710;10711;10712;10713;10714;10715;10743;10744;10745;10746;10747;11356;15379;15380;15381;15382;15383;15384;15385;15386;15387;15388;15483;15484;15485;15486;15487;15488;15748;15749;15750;15751;15752;19303;19304;22493;22494;26481;28641;28642;28643;28644;28645;28646;28647;28648;28649;28650;29167;29168;29169;29170;29273;29274;29275;29399;29400;29401;29402;33190;33191;33192;33193;33580;33581;33582;34380;34381;34382;34383;34384;38744;38745;38746;38747;38748;38749;38750;38751;39467;39468;39469;39470;39471;39472;41321;41322;41323;43094;43095;43096;43097;43098;46442;46443;46444;46445;46446;47038;48392;48393;48394;48395;48396;48546;48547;48548;48549;48550;48551;48552;48553;48554;48555;48556;49143;49144;49145;49146;49147	2239;2534;4742;5022;5276;5635;5908;6478;7396;7609;10676;10714;10744;11356;15379;15388;15483;15750;19303;22493;22494;26481;28645;29168;29274;29400;33193;33582;34380;38744;38745;39472;41322;43094;46443;47038;48392;48553;49144	81;82;83;84;85	112;180;194;351;571
